Date,Google,Apple,Amazon,AMD_CLOSE
5/22/2009,197.048386,17.721428,76.099998,4.26
5/26/2009,194.708603,17.822857,75.029999,4.53
5/27/2009,201.509369,18.825714,78.510002,4.71
5/28/2009,203.019547,19.064285,77.699997,4.7
5/29/2009,204.723465,19.341429,77.720001,4.54
6/1/2009,208.012085,19.495714,78.209999,4.73
6/2/2009,211.747787,19.855715,82.419998,4.56
6/3/2009,211.623596,20,83.309998,4.48
6/4/2009,216.243546,20.018572,85.419998,4.65
6/5/2009,221.09697,20.758572,86.290001,4.63
6/8/2009,218.329971,20.545713,86.75,4.61
6/9/2009,217.87294,20.544285,86.93,4.75
6/10/2009,216.705536,20.325714,87.580002,4.82
6/11/2009,214.489944,19.935715,86.300003,4.7
6/12/2009,212.050812,19.83,85.029999,4.47
6/15/2009,209.388138,19.43,82.830002,4.26
6/16/2009,208.300201,19.522858,83.699997,4.13
6/17/2009,206.75029,19.524286,82.5,4.08
6/18/2009,206.496933,19.444286,82.809998,3.85
6/19/2009,207.753769,19.724285,82.150002,3.87
6/22/2009,207.127838,20.095715,82.410004,3.62
6/23/2009,202.011108,19.485714,78.970001,3.55
6/24/2009,203.049362,19.345715,78,3.66
6/25/2009,202.184982,19.392857,79.099998,3.64
6/26/2009,205.503403,19.969999,81.900002,3.62
6/29/2009,211.623596,20.494286,83.870003,3.72
6/30/2009,210.630051,20.368572,83.620003,3.87
7/1/2009,210.729416,20.5,84.419998,3.91
7/2/2009,206.362808,20.178572,81.110001,3.78
7/6/2009,201.9366,19.814285,78.449997,3.55
7/7/2009,202.80098,19.782858,78.529999,3.43
7/8/2009,198.707596,19.417143,76.459999,3.36
7/9/2009,201.747818,19.68,78.25,3.48
7/10/2009,203.466644,19.477142,77.519997,3.49
7/13/2009,206.740356,19.934286,78.07,3.56
7/14/2009,210.485992,20.290001,81.480003,3.55
7/15/2009,213.441772,20.719999,83,3.86
7/16/2009,216.929092,20.822857,84.419998,3.92
7/17/2009,215.100983,21.297142,85.800003,4
7/20/2009,213.551056,21.895714,86.269997,4.17
7/21/2009,214.077637,21.898571,88.519997,4.08
7/22/2009,212.617126,22.54143,88.650002,3.55
7/23/2009,212.954941,22.375713,89.839996,3.59
7/24/2009,216.496902,22.421429,87.599998,3.77
7/27/2009,221.578842,22.881428,86.239998,3.8
7/28/2009,219.075134,22.697144,83.839996,3.77
7/29/2009,217.202301,22.700001,84.470001,3.71
7/30/2009,219.874924,23.1,85.639999,3.66
7/31/2009,223.536118,23.284286,85.760002,3.66
8/3/2009,222.92012,23.601429,86.559998,3.74
8/4/2009,223.233078,23.561428,87.480003,3.76
8/5/2009,226.526657,23.678572,85.639999,3.75
8/6/2009,225.682159,23.654285,84.309998,3.71
8/7/2009,226.362732,23.641428,84.099998,3.7
8/10/2009,226.099442,23.665714,85.010002,3.68
8/11/2009,225.369186,23.384285,83.639999,3.59
8/12/2009,226.233566,23.221428,83.419998,3.59
8/13/2009,229.581787,23.807142,85.720001,3.68
8/14/2009,229.89476,23.991428,84.110001,3.69
8/17/2009,224.291199,23.364286,81.160004,3.55
8/18/2009,221.111877,23.09,81.410004,3.56
8/19/2009,218.573395,23.25,80.910004,3.52
8/20/2009,224.539581,23.568571,82.980003,3.52
8/21/2009,231.265839,23.950001,84.779999,3.7
8/24/2009,232.164993,24.302856,85.169998,4
8/25/2009,233.04924,24.20857,84.660004,4.02
8/26/2009,234.852509,24.131428,84.099998,4.06
8/27/2009,232.776016,24.107143,84.010002,4.23
8/28/2009,233.113815,24.610001,84.779999,4.47
8/31/2009,228.409424,24.022858,81.93,4.36
9/1/2009,228.354767,23.998571,80.739998,4.22
9/2/2009,226.437241,23.517143,79.040001,4.28
9/3/2009,226.437241,23.777143,78.389999,4.53
9/4/2009,227.306595,23.897142,78.269997,4.53
9/8/2009,230.644882,24.711428,79.860001,5.19
9/9/2009,228.046768,24.682858,80.599998,5.2
9/10/2009,231.817245,24.58,82.330002,5.38
9/11/2009,233.68013,24.701429,84.440002,5.68
9/14/2009,233.734787,24.404285,83.809998,5.72
9/15/2009,236.00502,24.862858,84.169998,5.88
9/16/2009,238.349762,25.427143,85.910004,5.69
9/17/2009,243.699966,25.997143,90.75,5.67
9/18/2009,246.779938,26.547142,90.739998,5.7
9/21/2009,242.294113,26.327143,89.690002,5.81
9/22/2009,248.841522,26.455715,91.459999,6.08
9/23/2009,248.771973,26.485714,92.82,6.02
9/24/2009,248.617981,26.742857,92,5.66
9/25/2009,245.547943,26.001429,91.440002,5.83
9/28/2009,245.821167,26.267143,91.040001,5.94
9/29/2009,248.151016,26.675714,91.959999,5.78
9/30/2009,248.384491,26.59,92.260002,5.66
10/1/2009,244.90712,26.478571,92.5,5.39
10/2/2009,240.307037,25.915714,90.050003,5.31
10/5/2009,242.249405,26.6,90.25,5.54
10/6/2009,244.261322,26.82,89.330002,5.64
10/7/2009,247.887726,27.108572,91.5,5.54
10/8/2009,258.106262,27.237143,94.800003,5.51
10/9/2009,256.655701,26.995714,95,5.88
10/12/2009,260.018829,27.288572,96.169998,6.14
10/13/2009,260.500702,27.232857,93.830002,6.08
10/14/2009,264.509613,27.464285,96.220001,6.25
10/15/2009,265.150452,27.09,95.129997,6.19
10/16/2009,271.896576,27.049999,95.300003,5.74
10/19/2009,274.559265,26.835714,95.349998,5.87
10/20/2009,274.037659,28.657143,95.910004,5.98
10/21/2009,273.178253,28.502857,95.269997,5.77
10/22/2009,273.222961,29.242857,93.660004,5.83
10/23/2009,275.830994,29.385714,111.050003,5.6
10/26/2009,276.079376,29.095715,119.209999,5.42
10/27/2009,273.704803,28.808571,122.93,5.15
10/28/2009,272.164825,28.244286,121.57,4.85
10/29/2009,269.750519,27.857143,123.900002,4.93
10/30/2009,273.222961,28.008572,121.970001,4.6
11/2/2009,266.804688,27.114286,118.660004,4.6
11/3/2009,263.292542,26.835714,117.669998,4.64
11/4/2009,268.652679,27.247143,119,4.69
11/5/2009,269.988983,27.485714,117.459999,4.83
11/6/2009,272.090302,27.501429,123,5.04
11/9/2009,275.930328,28.134285,127.110001,5.21
11/10/2009,279.546814,28.717142,126.800003,5.14
11/11/2009,283.39679,29.222857,131.080002,5.32
11/12/2009,282.939758,29.02,129.979996,6.48
11/13/2009,282.805634,28.981428,131.160004,6.53
11/16/2009,285.642181,29.354286,132.119995,6.43
11/17/2009,285.577606,29.440001,131.399994,6.62
11/18/2009,286.461853,29.505714,130.899994,7.32
11/19/2009,285.031158,29.23,130.539993,7.05
11/20/2009,282.909943,28.450001,127.760002,6.95
